id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,loudness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.70
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.35
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.10,0.88
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.30
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.05,0.85
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.20
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.70,0.38
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.60,0.68
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.33
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.08,0.66
11,Concrete Kings,Blocktape,hip hop,aggressive,0.88,95,0.45,0.85,0.08,0.03,0.82
12,Winter Elegy,Anna Vorne,classical,melancholic,0.25,66,0.30,0.20,0.95,0.92,0.28
13,Voltage Peak,Pulsewave,edm,energetic,0.95,128,0.78,0.92,0.03,0.55,0.90
14,Island Time,Sun Rebels,reggae,uplifting,0.58,92,0.83,0.74,0.40,0.15,0.60
15,Dusty Roads Home,Clay Hartman,country,nostalgic,0.50,100,0.55,0.48,0.72,0.10,0.52
16,Iron Verdict,Ashfall,metal,dark,0.97,160,0.25,0.42,0.04,0.12,0.95
17,Velvet Hours,Mara Lune,r&b,romantic,0.48,88,0.68,0.70,0.35,0.06,0.55
18,Paper Boats,Fenwood,folk,dreamy,0.33,84,0.62,0.44,0.90,0.20,0.32
